,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
1774,7/30/1990,0.542446433,0.542740841
1775,7/31/1990,0.537345513,0.537634409
1776,8/1/1990,0.539228903,0.539519827
1777,8/2/1990,0.540686672,0.540979172
1778,8/3/1990,0.538213132,0.538502962
1779,8/6/1990,0.533475593,0.533760342
1780,8/7/1990,0.532481363,0.532765051
1781,8/8/1990,0.535475234,0.535762122
1782,8/9/1990,0.534330751,0.534616413
1783,8/10/1990,0.533760342,0.534045394
1784,8/13/1990,0.530503979,0.530785563
1785,8/14/1990,0.527983105,0.528262018
1786,8/15/1990,0.526038927,0.526315789
1787,8/16/1990,0.527009223,0.527287108
1788,8/17/1990,0.520833333,0.521104742
1789,8/20/1990,0.520833333,0.521104742
1790,8/21/1990,0.52042675,0.520697735
1791,8/22/1990,0.518672199,0.51894136
1792,8/23/1990,0.51203277,0.512295082
1793,8/24/1990,0.513742615,0.514006682
1794,8/27/1990,0.513742615,0.514006682
1795,8/28/1990,0.513083633,0.513347023
1796,8/29/1990,0.513610683,0.513874615
1797,8/30/1990,0.520291363,0.520562207
1798,8/31/1990,0.52882073,0.529100529
1799,9/3/1990,0.534188034,0.534473544
1800,9/4/1990,0.533191149,0.533475593
1801,9/5/1990,0.527565286,0.527843758
1802,9/6/1990,0.524136485,0.524411348
1803,9/7/1990,0.528262018,0.528541226
1804,9/10/1990,0.538068335,0.538358008
1805,9/11/1990,0.540248514,0.540540541
1806,9/12/1990,0.535475234,0.535762122
1807,9/13/1990,0.532765051,0.533049041
1808,9/14/1990,0.52742616,0.527704485
1809,9/17/1990,0.525210084,0.525486075
1810,9/18/1990,0.520833333,0.521104742
1811,9/19/1990,0.528960592,0.52924054
1812,9/20/1990,0.534673582,0.534959611
1813,9/21/1990,0.541125541,0.541418517
1814,9/24/1990,0.530926467,0.531208499
1815,9/25/1990,0.532765051,0.533049041
1816,9/26/1990,0.536193029,0.536480687
1817,9/27/1990,0.535762122,0.536049317
1818,9/28/1990,0.533049041,0.533333333
1819,10/1/1990,0.529100529,0.529380625
1820,10/2/1990,0.529661017,0.529941706
1821,10/3/1990,0.526038927,0.526315789
1822,10/4/1990,0.523012552,0.523286238
1823,10/5/1990,0.512952039,0.513742615
1824,10/8/1990,0.506585613,0.506970849
1825,10/9/1990,0.507099391,0.507356672
1826,10/10/1990,0.508905852,0.509164969
1827,10/11/1990,0.509035378,0.509294627
1828,10/12/1990,0.506457331,0.50671396
1829,10/15/1990,0.511247444,0.511508951
1830,10/16/1990,0.511378164,0.511639806
1831,10/17/1990,0.507614213,0.507872016
1832,10/18/1990,0.51203277,0.512295082
1833,10/19/1990,0.50942435,0.509683996
1834,10/22/1990,0.513215294,0.513478819
1835,10/23/1990,0.514271021,0.514535632
1836,10/24/1990,0.511247444,0.511508951
1837,10/25/1990,0.510986203,0.511247444
1838,10/26/1990,0.510986203,0.511247444
1839,10/29/1990,0.511770727,0.51203277
1840,10/30/1990,0.513215294,0.513478819
1841,10/31/1990,0.513795407,0.514059528
1842,11/1/1990,0.512952039,0.513215294
1843,11/2/1990,0.511561285,0.511823114
1844,11/5/1990,0.508130081,0.508388409
1845,11/6/1990,0.506200962,0.506457331
1846,11/7/1990,0.506585613,0.506842372
1847,11/8/1990,0.50748541,0.507743082
1848,11/9/1990,0.507872016,0.508130081
1849,11/12/1990,0.508776393,0.509035378
1850,11/13/1990,0.508776393,0.509035378
1851,11/14/1990,0.509813918,0.510073961
1852,11/15/1990,0.50999592,0.510256149
1853,11/16/1990,0.508259212,0.508517671
1854,11/19/1990,0.507305195,0.507562684
1855,11/20/1990,0.507356672,0.507614213
1856,11/21/1990,0.507433907,0.507691527
1857,11/22/1990,0.507356672,0.507614213
1858,11/23/1990,0.508078447,0.508336722
1859,11/26/1990,0.508854061,0.509113125
1860,11/27/1990,0.506072874,0.506329114
1861,11/28/1990,0.506329114,0.506585613
1862,11/29/1990,0.510986203,0.511247444
1863,11/30/1990,0.514588586,0.514853524
1864,12/3/1990,0.520291363,0.520562207
1865,12/4/1990,0.518806744,0.519076045
1866,12/5/1990,0.519480519,0.51975052
1867,12/6/1990,0.515729758,0.515995872
1868,12/7/1990,0.511901715,0.512163892
1869,12/10/1990,0.513478819,0.513742615
1870,12/11/1990,0.514535632,0.514800515
1871,12/12/1990,0.514138817,0.514403292
1872,12/13/1990,0.514006682,0.514271021
1873,12/14/1990,0.515729758,0.515995872
1874,12/17/1990,0.51786639,0.518134715
1875,12/18/1990,0.516715755,0.516982888
1876,12/19/1990,0.517196793,0.517464424
1877,12/20/1990,0.526038927,0.526315789
1878,12/21/1990,0.530785563,0.531067446
1879,12/24/1990,0.533333333,0.53390283
1880,12/25/1990,0.533333333,0.53390283
1881,12/26/1990,0.533333333,0.53390283
1882,12/27/1990,0.533333333,0.53390283
1883,12/28/1990,0.521376434,0.521648409
1884,12/31/1990,0.518000518,0.518806744
1885,1/1/1991,0.518000518,0.518806744
1886,1/2/1991,0.518000518,0.518806744
1887,1/3/1991,0.513478819,0.513742615
1888,1/4/1991,0.517196793,0.517464424
1889,1/7/1991,0.524383849,0.524658972
1890,1/8/1991,0.524109015,0.524383849
1891,1/9/1991,0.518672199,0.51894136
1892,1/10/1991,0.524383849,0.524658972
1893,1/11/1991,0.524521374,0.524796641
1894,1/14/1991,0.524521374,0.524796641
1895,1/15/1991,0.5249895,0.525265259
1896,1/16/1991,0.525624179,0.525900605
1897,1/17/1991,0.520020801,0.520291363
1898,1/18/1991,0.515198351,0.515463918
1899,1/21/1991,0.511770727,0.51203277
1900,1/22/1991,0.513136289,0.513399733
1901,1/23/1991,0.51072523,0.510986203
1902,1/24/1991,0.50926869,0.509528177
1903,1/25/1991,0.509683996,0.509943906
1904,1/28/1991,0.509164969,0.50942435
1905,1/29/1991,0.507614213,0.507872016
1906,1/30/1991,0.510464523,0.51072523
1907,1/31/1991,0.508517671,0.508776393
1908,2/1/1991,0.505816894,0.506072874
1909,2/4/1991,0.506200962,0.506457331
1910,2/5/1991,0.503981453,0.504235579
1911,2/6/1991,0.4995005,0.499750125
1912,2/7/1991,0.501253133,0.501504514
1913,2/8/1991,0.503524673,0.503778338
1914,2/11/1991,0.500500501,0.500751127
1915,2/12/1991,0.502008032,0.502260171
1916,2/13/1991,0.501127537,0.501378792
1917,2/14/1991,0.504999495,0.505254648
1918,2/15/1991,0.507227999,0.50748541
1919,2/18/1991,0.509813918,0.510073961
1920,2/19/1991,0.512557663,0.512820513
1921,2/20/1991,0.513610683,0.513874615
1922,2/21/1991,0.510855683,0.51111679
1923,2/22/1991,0.514800515,0.515065671
1924,2/25/1991,0.519480519,0.51975052
1925,2/26/1991,0.521920668,0.522193211
1926,2/27/1991,0.521648409,0.521920668
1927,2/28/1991,0.522739153,0.523012552
1928,3/1/1991,0.525762355,0.526038927
1929,3/4/1991,0.526592944,0.52687039
1930,3/5/1991,0.525900605,0.526177322
1931,3/6/1991,0.529100529,0.529380625
1932,3/7/1991,0.529885545,0.530166472
1933,3/8/1991,0.53361793,0.53390283
1934,3/11/1991,0.539811066,0.540102619
1935,3/12/1991,0.538213132,0.538502962
1936,3/13/1991,0.538358008,0.538647994
1937,3/14/1991,0.538793103,0.539083558
1938,3/15/1991,0.545851528,0.546149645
1939,3/18/1991,0.557724484,0.558035714
1940,3/19/1991,0.564971751,0.565930956
1941,3/20/1991,0.561482313,0.561797753
1942,3/21/1991,0.55819146,0.558503211
1943,3/22/1991,0.559127761,0.559440559
1944,3/25/1991,0.566251416,0.566572238
1945,3/26/1991,0.568990043,0.569313977
1946,3/27/1991,0.575539568,0.575871005
1947,3/28/1991,0.575705239,0.576701269
1948,3/29/1991,0.575705239,0.576701269
1949,4/1/1991,0.575705239,0.576701269
1950,4/2/1991,0.564652739,0.564971751
1951,4/3/1991,0.562746201,0.563063063
1952,4/4/1991,0.56022409,0.560538117
1953,4/5/1991,0.562429696,0.562746201
1954,4/8/1991,0.564334086,0.564652739
1955,4/9/1991,0.558253782,0.558565604
1956,4/10/1991,0.562113547,0.562429696
1957,4/11/1991,0.558035714,0.558347292
1958,4/12/1991,0.560852496,0.561167228
1959,4/15/1991,0.558035714,0.558347292
1960,4/16/1991,0.558971492,0.559284116
1961,4/17/1991,0.56022409,0.560538117
1962,4/18/1991,0.56385678,0.564174894
1963,4/19/1991,0.580720093,0.581057525
1964,4/22/1991,0.590318772,0.590667454
1965,4/23/1991,0.583771162,0.58411215
1966,4/24/1991,0.58719906,0.587544066
1967,4/25/1991,0.590493062,0.59084195
1968,4/26/1991,0.593647967,0.594000594
1969,4/29/1991,0.597014925,0.597371565
1970,4/30/1991,0.579038796,0.579374276
1971,5/1/1991,0.579374276,0.579710145
1972,5/2/1991,0.582411182,0.582750583
1973,5/3/1991,0.589275192,0.589622642
1974,5/6/1991,0.589275192,0.589622642
1975,5/7/1991,0.58088876,0.581226388
1976,5/8/1991,0.580720093,0.581057525
1977,5/9/1991,0.586510264,0.58685446
1978,5/10/1991,0.581395349,0.581733566
1979,5/13/1991,0.579038796,0.579374276
1980,5/14/1991,0.575705239,0.576036866
1981,5/15/1991,0.571428571,0.571755289
1982,5/16/1991,0.572901747,0.573230152
1983,5/17/1991,0.581733566,0.582411182
1984,5/20/1991,0.580720093,0.581057525
1985,5/21/1991,0.576036866,0.576368876
1986,5/22/1991,0.579374276,0.579710145
1987,5/23/1991,0.575373993,0.575705239
1988,5/24/1991,0.577200577,0.57753393
1989,5/27/1991,0.577200577,0.57753393
1990,5/28/1991,0.573657641,0.573986913
1991,5/29/1991,0.577200577,0.57753393
1992,5/30/1991,0.582750583,0.583090379
1993,5/31/1991,0.588235294,0.588581519
1994,6/3/1991,0.588581519,0.588928151
1995,6/4/1991,0.58685446,0.58719906
1996,6/5/1991,0.590144585,0.590493062
1997,6/6/1991,0.592487262,0.592838511
1998,6/7/1991,0.598265031,0.598623167
1999,6/10/1991,0.598981731,0.599340725
2000,6/11/1991,0.601503759,0.601865784
2001,6/12/1991,0.607718019,0.608087565
2002,6/13/1991,0.610128127,0.610500611
2003,6/14/1991,0.609756098,0.610128127
2004,6/17/1991,0.615763547,0.616142945
2005,6/18/1991,0.620732464,0.621118012
2006,6/19/1991,0.611807892,0.61218243
2007,6/20/1991,0.611807892,0.61218243
2008,6/21/1991,0.613873542,0.614250614
2009,6/24/1991,0.608828006,0.609198903
2010,6/25/1991,0.613873542,0.614250614
2011,6/26/1991,0.609570253,0.609942056
2012,6/27/1991,0.612369871,0.612745098
2013,6/28/1991,0.61709349,0.617474529
2014,7/1/1991,0.618620476,0.619003405
2015,7/2/1991,0.623830318,0.624219725
2016,7/3/1991,0.62305296,0.623441397
2017,7/4/1991,0.622858922,0.623247117
2018,7/5/1991,0.617665225,0.618046972
2019,7/8/1991,0.61406202,0.614439324
2020,7/9/1991,0.615763547,0.616142945
2021,7/10/1991,0.615953188,0.61633282
2022,7/11/1991,0.623247117,0.623635797
2023,7/12/1991,0.606980273,0.607348922
2024,7/15/1991,0.606060606,0.606428138
2025,7/16/1991,0.607164542,0.607533414
2026,7/17/1991,0.605143722,0.605510142
2027,7/18/1991,0.599520384,0.599880024
2028,7/19/1991,0.591891092,0.592241635
2029,7/22/1991,0.594177065,0.594530321
2030,7/23/1991,0.59435364,0.594707107
2031,7/24/1991,0.590493062,0.59084195
2032,7/25/1991,0.594177065,0.594530321
2033,7/26/1991,0.592417062,0.592768228
2034,7/29/1991,0.596658711,0.597014925
2035,7/30/1991,0.59435364,0.594707107
2036,7/31/1991,0.59311981,0.59347181
2037,8/1/1991,0.597550045,0.597907324
2038,8/2/1991,0.58979652,0.590144585
2039,8/5/1991,0.58530875,0.585651537
2040,8/6/1991,0.583771162,0.58411215
2041,8/7/1991,0.58411215,0.584453536
2042,8/8/1991,0.587889477,0.588235294
2043,8/9/1991,0.588754784,0.58910162
2044,8/12/1991,0.588235294,0.588581519
2045,8/13/1991,0.590318772,0.590667454
2046,8/14/1991,0.592417062,0.592768228
2047,8/15/1991,0.592768228,0.59311981
2048,8/16/1991,0.601684717,0.60204696
2049,8/19/1991,0.612557427,0.612932884
2050,8/20/1991,0.609384522,0.609756098
2051,8/21/1991,0.597193192,0.597550045
2052,8/22/1991,0.590144585,0.590493062
2053,8/23/1991,0.59672992,0.597086219
2054,8/26/1991,0.59672992,0.597086219
2055,8/27/1991,0.594883998,0.595238095
2056,8/28/1991,0.592241635,0.592592593
2057,8/29/1991,0.594530321,0.594883998
2058,8/30/1991,0.595592615,0.595947557
2059,9/2/1991,0.59311981,0.59347181
2060,9/3/1991,0.590318772,0.590667454
2061,9/4/1991,0.590493062,0.59084195
2062,9/5/1991,0.590493062,0.59084195
2063,9/6/1991,0.58903222,0.589379384
2064,9/9/1991,0.579206487,0.579542162
2065,9/10/1991,0.578201792,0.578536303
2066,9/11/1991,0.579105861,0.579441418
2067,9/12/1991,0.576701269,0.577034045
2068,9/13/1991,0.576368876,0.576701269
2069,9/16/1991,0.575043128,0.575373993
2070,9/17/1991,0.573888092,0.574217628
2071,9/18/1991,0.577034045,0.577367206
2072,9/19/1991,0.578034682,0.578368999
2073,9/20/1991,0.579710145,0.580046404
2074,9/23/1991,0.572573719,0.572901747
2075,9/24/1991,0.574712644,0.575043128
2076,9/25/1991,0.576867609,0.577200577
2077,9/26/1991,0.577367206,0.577700751
2078,9/27/1991,0.575705239,0.576036866
2079,9/30/1991,0.570776256,0.571102227
2080,10/1/1991,0.571755289,0.57208238
2081,10/2/1991,0.570613409,0.570939195
2082,10/3/1991,0.571102227,0.571428571
2083,10/4/1991,0.574382539,0.574712644
2084,10/7/1991,0.576368876,0.576701269
2085,10/8/1991,0.582411182,0.582750583
2086,10/9/1991,0.581902822,0.58224163
2087,10/10/1991,0.582920431,0.583260426
2088,10/11/1991,0.581395349,0.581733566
2089,10/14/1991,0.581970552,0.582309439
2090,10/15/1991,0.58702671,0.587371512
2091,10/16/1991,0.583430572,0.583771162
2092,10/17/1991,0.584282793,0.584624379
2093,10/18/1991,0.581226388,0.581564408
2094,10/21/1991,0.581226388,0.581564408
2095,10/22/1991,0.582750583,0.583090379
2096,10/23/1991,0.586235198,0.586579071
2097,10/24/1991,0.583771162,0.58411215
2098,10/25/1991,0.583771162,0.58411215
2099,10/28/1991,0.586338317,0.586682312
2100,10/29/1991,0.580383053,0.580720093
2101,10/30/1991,0.574547544,0.574877838
2102,10/31/1991,0.573230152,0.573558933
2103,11/1/1991,0.571428571,0.571755289
2104,11/4/1991,0.560538117,0.560852496
2105,11/5/1991,0.564493367,0.5648122
2106,11/6/1991,0.564557105,0.56487601
2107,11/7/1991,0.562113547,0.562429696
2108,11/8/1991,0.565131393,0.565450947
2109,11/11/1991,0.5648122,0.565131393
2110,11/12/1991,0.56385678,0.564174894
2111,11/13/1991,0.564174894,0.564493367
2112,11/14/1991,0.563221628,0.563539025
